Month,Crude Oil (petroleum) Price (Indian Rupee per Barrel),Diesel Price (Indian Rupee per Gallon)
12/1/2011,"5,486.72",154.61
1/1/2012,"5,484.92",157.78
2/1/2012,"5,540.26",158.45
3/1/2012,"5,927.55",166.17
4/1/2012,"5,888.49",167.95
5/1/2012,"5,655.94",162.3
6/1/2012,"5,083.60",151.84
7/1/2012,"5,372.19",162.19
8/1/2012,"5,848.75",176.62
9/1/2012,"5,798.48",176.17
10/1/2012,"5,476.43",171.37
11/1/2012,"5,536.01",174.01
12/1/2012,"5,526.62",167.67
1/1/2013,"5,708.32",168.53
2/1/2013,"5,784.94",173.97
3/1/2013,"5,575.84",165.18
4/1/2013,"5,375.04",157.69
5/1/2013,"5,468.66",158.94
6/1/2013,"5,817.69",168.63
7/1/2013,"6,292.38",180.41
8/1/2013,"6,836.67",193.92
9/1/2013,"6,926.83",194.12
10/1/2013,"6,497.77",184.59
11/1/2013,"6,435.78",184.24
12/1/2013,"6,534.28",188.63
1/1/2014,"6,344.00",193.68
2/1/2014,"6,529.28",200.99
3/1/2014,"6,343.00",182.47
4/1/2014,"6,329.60",178.53
5/1/2014,"6,273.13",174.29
6/1/2014,"6,471.05",176.87
7/1/2014,"6,320.51",172.92
8/1/2014,"6,092.56",173.55
9/1/2014,"5,835.69",166.82
10/1/2014,"5,280.84",155.39
11/1/2014,"4,748.53",149.94
12/1/2014,"3,806.55",127.55
1/1/2015,"2,927.20",104.26
2/1/2015,"3,398.51",123.5
3/1/2015,"3,299.23",115.91
4/1/2015,"3,611.03",115.65
5/1/2015,"3,988.78",125.39
6/1/2015,"3,915.30",120.57
7/1/2015,"3,458.51",107.18
8/1/2015,"2,973.16",98.65
9/1/2015,"3,064.43",100.38
10/1/2015,"3,055.95",95.79
11/1/2015,"2,847.43",93.33
12/1/2015,"2,435.40",75.79
1/1/2016,"2,004.00",65.88
2/1/2016,"2,117.58",70.7
3/1/2016,"2,503.95",79.8
4/1/2016,"2,708.63",82.89
5/1/2016,"3,072.75",95.18
6/1/2016,"3,208.66",100.32
7/1/2016,"2,966.28",92.09
8/1/2016,"3,004.16",93.65
9/1/2016,"3,006.05",94.64
10/1/2016,"3,290.46",104.07
11/1/2016,"3,056.29",98.79
12/1/2016,"3,572.84",111.49
1/1/2017,"3,649.89",110.54
2/1/2017,"3,647.03",108.97
3/1/2017,"3,355.09",100.72
4/1/2017,"3,365.04",102.32
5/1/2017,"3,213.83",97.53
6/1/2017,"2,975.01",91.31
7/1/2017,"3,071.23",98.01
8/1/2017,"3,194.46",104.33
9/1/2017,"3,413.19",115.45
10/1/2017,"3,574.53",117.09
11/1/2017,"3,887.81",124.3
12/1/2017,"3,930.99",124.89
1/1/2018,"4,215.16",132
2/1/2018,"4,085.16",124.69
3/1/2018,"4,171.72",125.47
4/1/2018,"4,516.93",136.51
5/1/2018,"4,959.75",150.62
6/1/2018,"4,879.75",145.48
7/1/2018,"4,992.51",147.02
8/1/2018,"4,942.53",149.71
9/1/2018,"5,448.55",162.82
10/1/2018,"5,648.69",171.68
11/1/2018,"4,476.09",147.1
12/1/2018,"3,822.07",127.57
1/1/2019,"4,003.08",130.61
2/1/2019,"4,352.94",139.71
3/1/2019,"4,432.04",138.12
4/1/2019,"4,761.33",143.16
5/1/2019,"4,664.02",141.74
6/1/2019,"4,149.67",128.18
7/1/2019,"4,230.22",132.11
8/1/2019,"4,102.97",129.77
9/1/2019,"4,282.87",138.39
10/1/2019,"4,069.14",137.63
